Aktivitet,Kommune,Aktørtype,Aktør,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,Sundhed,Klima,Fødevarer,Ressourcer,Energi,Andet,Links,Regionale aktiviteter,Forår,Sommer,Efterår,Vinter,Betalt,Eksemplarisk aktiviteter,Praksisnærhed,Didaktisk grundlag,Skole/virksomhedssamarbejde,Progression,Autentisk læringsmiljø
Aktiveringsværksted i Zoo 2. - 6.,Aalborg,Museum,Aalborg Zoo,,,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,,,,,Indskoling,Mellemtrin,,Natur,,,,,,,https://aabenaalborg.dk/grundskole/aktiveringsv%C3%A6rksted,,,,,,,,,,,,
Grønlands dyr 0. - 7.,Aalborg,Museum,Aalborg Zoo,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,,,,Indskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/gr%C3%B8nlands-dyr,,,,,,,,,,,,
Vi kigger på fugle 4. - 7.,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/vi-kigger-p%C3%A5-fugle,,,,,,,,,,,,
Nordens kæmper stjernepunktsløb 4. - 7.,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/nordens-k%C3%A6mper-stjernepunktsl%C3%B8b,,,,,,,,,,,,
Nordens kæmper 4. - 7.,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/nordens-k%C3%A6mper,,,,,,,,,,,,
Døden i naturen 4. - 7.,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/d%C3%B8den-i-naturen,,,,,,,,,,,,
En verden af plastik 4. - 6.,Aalborg,Virksomhed,Aalborg Renovation,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/en-verden-af-plastik,,,,,,,,,,,,
Jagten på råstofferne 7. - 10.,Aalborg,Virksomhed,Aalborg Renovation,,,,,,,,7. klasse,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/jagten-p%C3%A5-r%C3%A5stofferne,,,,,,,,,,,,
Rundt om affald 4. - 6.,Aalborg,Virksomhed,Aalborg Renovation,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/rundt-om-affald,,,,,,,,,,,,
