Aktivitet,Kommune,Aktørtype,Aktør,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,Sundhed,Klima,Fødevarer,Ressourcer,Energi,Andet,Links,Regionale aktiviteter,Forår,Sommer,Efterår,Vinter,Betalt,Eksemplarisk aktiviteter,Praksisnærhed,Didaktisk grundlag,Skole/virksomhedssamarbejde,Progression,Autentisk læringsmiljø
Vi kigger på fugle 4. - 7. ,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/vi-kigger-p%C3%A5-fugle,,,,,,,,,,,,
Nordens kæmper stjernepunktsløb 4. - 7. ,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/nordens-k%C3%A6mper-stjernepunktsl%C3%B8b,,,,,,,,,,,,
Nordens kæmper 4. - 7. ,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/nordens-k%C3%A6mper,,,,,,,,,,,,
Døden i naturen 4. - 7. ,Aalborg,Naturværksted,Lille Vildmosecentret,,,,,4. klasse,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/d%C3%B8den-i-naturen,,,,,,,,,,,,
En verden af plastik 4. - 6. ,Aalborg,Virksomhed,Aalborg Renovation,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/en-verden-af-plastik,,,,,,,,,,,,
Jagten på råstofferne 7. - 10. ,Aalborg,Virksomhed,Aalborg Renovation,,,,,,,,7. klasse,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/jagten-p%C3%A5-r%C3%A5stofferne,,,,,,,,,,,,
Rundt om affald 4. - 6. ,Aalborg,Virksomhed,Aalborg Renovation,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/rundt-om-affald,,,,,,,,,,,,
Bliv sorteringsekspert med Frede og Frida 0. - 3. ,Aalborg,Virksomhed,Aalborg Renovation,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/bliv-sorteringsekspert-med-frede-og-frida,,,,,,,,,,,,
Grønlands dyr 0. - 7. ,Aalborg,Dyrepark,Aalborg Zoo,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,,,,Indskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/gr%C3%B8nlands-dyr,,,,,,,,,,,,
Aktiveringsværksted i Zoo 2. - 6.,Aalborg,Dyrepark,Aalborg Zoo,,,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,,,,,Indskoling,Mellemtrin,,Natur,,,,,,,https://aabenaalborg.dk/grundskole/aktiveringsv%C3%A6rksted,,,,,,,,,,,,
Dyr derhjemme 0. - 3. ,Aalborg,Dyrepark,Aalborg Zoo,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Inskoling,,,Natur,,,,,,,https://aabenaalborg.dk/grundskole/dyr-derhjemme,,,,,,,,,,,,
Afrikas savanner 0. - 10. ,Aalborg,Dyrepark,Aalborg Zoo,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Inskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/afrikas-savanner,,,,,,,,,,,,
Dyrs tilpasning og forskelligheder 3. - 10. ,Aalborg,Dyrepark,Aalborg Zoo,,,,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Inskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/dyrs-tilpasning-og-forskelligheder,,,,,,,,,,,,
Evolution/klassifikation 8. - 10. ,Aalborg,Dyrepark,Aalborg Zoo,,,,,,,,,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/evolution-klassifikation,,,,,,,,,,,,
Krybdyr 4. - 10. ,Aalborg,Dyrepark,Aalborg Zoo,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/krybdyr,,,,,,,,,,,,
Hverdagen i zoo 1. - 10. ,Aalborg,Dyrepark,Aalborg Zoo,,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Inskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/hverdagen-i-zoo,,,,,,,,,,,,
Er det bæredygtigt? 9. - 10. ,Aalborg,Museum,Utzon Center,,,,,,,,,,9. klasse,10. klasse,,,Udskoling,,,,,Ressoucer,Energi ,Andet,https://aabenaalborg.dk/grundskole/er-det-b%C3%A6redygtigt-0,,,,,,,,,,,,
Arkitektik og Matematur 1. - 3. ,Aalborg,Museum,Utzon Center,,1. klasse,2. klasse,3. klasse,,,,,,,,Inskoling,,,Natur,,,,,,Andet,https://aabenaalborg.dk/grundskole/arkitektik-og-matematur,,,,,,,,,,,,
Skoletjenesten på Egholm og i Fjordhuset 4. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,4. klasse,,,,,,,,Mellemtrin,,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/skoletjenesten-p%C3%A5-egholm-og-i-fjordhuset,,,,,,,,,,,,
Skoletjenesten i Fjordhuset og på Egholm 8. - 9. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,,,,,8. klasse,9. klasse,,,,Udskoling,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/skoletjenesten-i-fjordhuset-og-p%C3%A5-egholm,,,,,,,,,,,,
